,0,1
0,58.0,72.0
1,48.0,67.0
2,51.0,65.0
3,54.0,66.0
4,41.0,53.0
5,56.0,69.0
6,14.0,26.0
7,52.0,70.0
8,55.0,72.0
9,19.0,31.0
10,26.0,36.0
11,51.0,65.0
12,272.0,350.0
13,51.0,61.0
14,62.0,77.0
15,294.0,367.0
16,59.0,74.0
17,69.0,83.0
18,25.0,34.0
19,12.0,27.0
20,48.0,59.0
21,15.0,29.0
22,294.0,369.0
23,59.0,72.0
24,62.0,83.0
25,89.0,110.0
26,63.0,74.0
27,51.0,67.0
28,56.0,71.0
29,2.0,18.0
30,50.0,64.0
31,52.0,62.0
32,55.0,73.0
33,66.0,74.0
34,56.0,74.0
35,58.0,73.0
36,12.0,28.0
37,52.0,65.0
38,51.0,65.0
39,43.0,56.0
40,15.0,28.0
41,26.0,34.0
42,51.0,63.0
43,64.0,77.0
44,53.0,68.0
45,22.0,35.0
46,69.0,78.0
47,50.0,65.0
48,61.0,86.0
49,51.0,63.0
50,53.0,66.0
51,55.0,71.0
52,66.0,81.0
53,49.0,60.0
54,62.0,76.0
55,52.0,64.0
56,18.0,28.0
57,8.0,18.0
58,50.0,66.0
59,17.0,32.0
60,58.0,70.0
61,52.0,64.0
62,61.0,72.0
63,292.0,382.0
64,57.0,75.0
65,58.0,71.0
66,56.0,72.0
67,13.0,31.0
68,62.0,76.0
69,6.0,22.0
70,2.0,13.0
71,10.0,23.0
72,50.0,61.0
73,216.0,308.0
74,63.0,72.0
75,57.0,66.0
76,346.0,433.0
77,56.0,67.0
78,246.0,322.0
79,8.0,23.0
80,55.0,73.0
81,57.0,69.0
82,24.0,37.0
83,57.0,70.0
84,18.0,32.0
85,55.0,73.0
86,61.0,73.0
87,55.0,63.0
88,59.0,74.0
89,55.0,66.0
90,326.0,426.0
91,9.0,24.0
92,52.0,64.0
93,59.0,74.0
94,55.0,72.0
95,49.0,61.0
96,59.0,72.0
97,47.0,67.0
98,68.0,150.0
99,59.0,79.0
100,54.0,66.0
101,260.0,302.0
102,51.0,69.0
103,22.0,35.0
104,49.0,59.0
105,19.0,31.0
106,56.0,74.0
107,15.0,31.0
108,53.0,70.0
109,65.0,79.0
110,205.0,281.0
111,68.0,83.0
112,17.0,28.0
113,61.0,72.0
114,72.0,84.0
115,57.0,67.0
116,59.0,66.0
117,66.0,79.0
118,500.0,605.0
119,330.0,433.0
120,66.0,165.0
121,13.0,28.0
122,53.0,66.0
123,55.0,70.0
124,56.0,69.0
125,13.0,42.0
126,61.0,69.0
127,13.0,27.0
128,280.0,357.0
129,54.0,74.0
130,53.0,69.0
131,47.0,61.0
132,300.0,395.0
133,14.0,29.0
134,50.0,55.0
135,67.0,82.0
136,54.0,65.0
137,6.0,24.0
138,340.0,414.0
139,48.0,65.0
140,263.0,352.0
141,101.0,191.0
142,51.0,67.0
143,51.0,69.0
144,21.0,34.0
145,23.0,38.0
146,55.0,73.0
147,55.0,74.0
148,34.0,95.0
149,55.0,70.0
150,49.0,65.0
151,15.0,27.0
152,16.0,29.0
153,57.0,71.0
154,55.0,70.0
155,65.0,81.0
156,50.0,64.0
157,15.0,30.0
158,17.0,30.0
159,80.0,94.0
160,58.0,73.0
161,65.0,77.0
162,53.0,69.0
163,61.0,79.0
164,49.0,68.0
165,262.0,334.0
166,59.0,73.0
167,61.0,72.0
168,57.0,69.0
169,292.0,362.0
170,55.0,67.0
171,232.0,280.0
172,63.0,72.0
173,56.0,66.0
174,28.0,35.0
175,7.0,22.0
176,64.0,79.0
177,61.0,77.0
178,20.0,32.0
179,56.0,67.0
180,45.0,62.0
181,52.0,69.0
