,0,1
0,182.0,332.0
1,247.0,389.0
2,256.0,329.0
3,218.0,351.0
4,246.0,301.0
5,246.0,341.0
6,261.0,334.0
7,222.0,317.0
8,211.0,319.0
9,261.0,329.0
10,183.0,296.0
11,295.0,395.0
12,244.0,345.0
13,236.0,311.0
14,225.0,308.0
15,235.0,297.0
16,261.0,336.0
17,205.0,325.0
18,221.0,342.0
19,232.0,307.0
20,212.0,323.0
21,264.0,345.0
22,206.0,331.0
23,270.0,336.0
24,260.0,316.0
25,255.0,348.0
26,202.0,267.0
27,221.0,287.0
28,240.0,330.0
29,192.0,296.0
30,258.0,338.0
31,239.0,302.0
32,224.0,351.0
33,252.0,333.0
34,220.0,316.0
35,249.0,362.0
36,199.0,318.0
37,244.0,350.0
38,240.0,324.0
39,256.0,341.0
40,242.0,334.0
41,216.0,297.0
42,210.0,291.0
43,231.0,312.0
44,216.0,320.0
45,237.0,337.0
46,229.0,325.0
47,247.0,318.0
48,182.0,339.0
49,220.0,321.0
50,214.0,298.0
51,207.0,298.0
52,259.0,321.0
53,251.0,313.0
54,57.0,346.0
55,229.0,329.0
56,200.0,278.0
57,204.0,310.0
58,211.0,345.0
59,220.0,285.0
60,234.0,367.0
61,200.0,319.0
62,190.0,300.0
63,223.0,366.0
64,230.0,336.0
65,217.0,316.0
66,233.0,333.0
67,189.0,322.0
68,279.0,333.0
69,227.0,325.0
70,198.0,319.0
71,276.0,352.0
72,248.0,345.0
73,188.0,339.0
74,232.0,288.0
75,221.0,304.0
76,229.0,346.0
77,202.0,318.0
78,212.0,297.0
79,227.0,324.0
80,214.0,318.0
81,242.0,355.0
82,190.0,327.0
83,222.0,308.0
84,166.0,282.0
85,203.0,296.0
86,232.0,312.0
87,262.0,326.0
88,248.0,320.0
89,255.0,343.0
90,246.0,334.0
91,145.0,306.0
92,210.0,300.0
93,252.0,316.0
94,191.0,358.0
95,258.0,344.0
96,229.0,313.0
97,222.0,355.0
98,184.0,311.0
99,178.0,277.0
100,231.0,315.0
101,239.0,344.0
102,216.0,319.0
103,222.0,290.0
104,238.0,305.0
105,253.0,314.0
106,255.0,338.0
107,163.0,286.0
108,217.0,321.0
109,179.0,274.0
110,230.0,361.0
111,246.0,323.0
112,254.0,338.0
113,251.0,319.0
114,237.0,298.0
115,246.0,314.0
116,299.0,348.0
117,212.0,275.0
118,219.0,320.0
119,228.0,361.0
120,196.0,334.0
121,170.0,313.0
122,213.0,307.0
123,242.0,321.0
124,215.0,332.0
125,192.0,343.0
126,204.0,280.0
127,290.0,367.0
128,251.0,340.0
129,214.0,307.0
130,244.0,335.0
131,261.0,344.0
132,242.0,311.0
133,219.0,319.0
134,258.0,321.0
135,231.0,313.0
136,215.0,282.0
137,243.0,328.0
138,270.0,376.0
139,208.0,315.0
140,231.0,357.0
141,228.0,347.0
142,202.0,321.0
143,243.0,325.0
144,245.0,335.0
145,226.0,331.0
146,246.0,324.0
147,245.0,313.0
148,239.0,337.0
149,229.0,309.0
150,241.0,337.0
151,228.0,320.0
152,228.0,295.0
153,243.0,340.0
154,223.0,319.0
155,257.0,346.0
156,260.0,345.0
157,270.0,333.0
158,235.0,342.0
159,239.0,333.0
160,234.0,319.0
161,216.0,338.0
162,224.0,355.0
163,220.0,313.0
164,219.0,306.0
165,245.0,328.0
166,306.0,365.0
167,236.0,315.0
168,242.0,334.0
169,234.0,341.0
170,226.0,324.0
171,234.0,324.0
172,235.0,324.0
173,223.0,311.0
174,220.0,278.0
175,235.0,315.0
176,86.0,334.0
177,247.0,342.0
178,246.0,317.0
179,236.0,324.0
180,213.0,313.0
181,209.0,287.0
